ID,Cor,Modelo,Estacao,Funcionario,PosicaoEsteira
305,Azul,SEDAN,3,15,41
306,Verde,SUV,4,17,41
307,Azul,SUV,1,2,41
308,Verde,SUV,3,12,41
309,Azul,SEDAN,1,4,41
310,Vermelho,SUV,2,7,41
311,Verde,SEDAN,3,14,41
312,Vermelho,SUV,4,16,41
313,Verde,SUV,1,1,41
314,Azul,SUV,3,11,41
315,Vermelho,SEDAN,1,3,41
316,Vermelho,SEDAN,2,6,41
317,Azul,SEDAN,3,13,41
318,Verde,SEDAN,4,20,41
319,Azul,SEDAN,1,5,41
320,Verde,SUV,3,15,41
321,Azul,SUV,1,2,41
322,Vermelho,SUV,2,10,41
323,Verde,SEDAN,3,12,41
324,Azul,SEDAN,4,19,41
325,Vermelho,SUV,1,4,41
326,Verde,SUV,3,14,41
327,Verde,SEDAN,1,1,41
328,Verde,SUV,2,9,41
329,Verde,SUV,3,11,41
330,Azul,SUV,4,18,41
331,Vermelho,SUV,1,3,41
332,Verde,SEDAN,3,13,41
333,Azul,SEDAN,1,5,41
334,Verde,SEDAN,2,8,41
335,Verde,SEDAN,3,15,41
336,Vermelho,SEDAN,4,17,41
337,Vermelho,SUV,1,2,41
338,Vermelho,SUV,3,12,41
339,Verde,SUV,1,4,41
340,Verde,SUV,2,7,41
341,Azul,SUV,3,14,41
342,Vermelho,SEDAN,4,16,41
343,Vermelho,SUV,1,1,41
344,Verde,SUV,3,11,41
345,Azul,SUV,1,3,41
346,Azul,SUV,2,6,41
347,Azul,SUV,3,13,41
348,Azul,SEDAN,4,20,41
349,Azul,SEDAN,1,5,41
350,Azul,SUV,3,15,41
351,Azul,SEDAN,1,2,41
352,Azul,SUV,2,10,41
353,Azul,SUV,3,12,41
354,Vermelho,SEDAN,4,19,41
355,Vermelho,SUV,1,4,41
356,Azul,SUV,3,14,41
357,Azul,SEDAN,1,1,41
358,Verde,SEDAN,2,9,41
359,Verde,SUV,3,11,41
360,Vermelho,SUV,4,18,41
361,Azul,SEDAN,1,3,41
362,Azul,SEDAN,3,13,41
363,Vermelho,SUV,1,5,41
364,Verde,SEDAN,2,8,41
365,Verde,SUV,3,15,41
366,Azul,SEDAN,4,17,41
367,Azul,SUV,1,2,41
368,Vermelho,SEDAN,3,12,41
369,Verde,SUV,1,4,41
370,Vermelho,SUV,2,7,41
371,Verde,SEDAN,3,14,41
372,Vermelho,SEDAN,4,16,41
373,Vermelho,SEDAN,1,1,41
374,Azul,SUV,3,11,41
375,Verde,SEDAN,1,3,41
376,Vermelho,SUV,2,6,41
377,Azul,SUV,3,13,41
378,Azul,SEDAN,4,20,41
379,Azul,SEDAN,1,5,41
380,Verde,SEDAN,3,15,41
381,Azul,SUV,1,2,41
382,Azul,SEDAN,2,10,41
383,Verde,SEDAN,3,12,41
384,Verde,SEDAN,4,19,41
385,Vermelho,SEDAN,1,4,41
386,Azul,SUV,3,14,41
387,Vermelho,SUV,1,1,41
388,Verde,SEDAN,2,9,41
389,Vermelho,SUV,3,11,41
390,Vermelho,SEDAN,4,18,41
391,Verde,SEDAN,1,3,41
392,Vermelho,SEDAN,3,13,41
393,Azul,SUV,1,5,41
394,Azul,SUV,2,8,41
395,Verde,SUV,3,15,41
396,Azul,SEDAN,4,17,41
397,Azul,SEDAN,1,2,41
398,Vermelho,SUV,3,12,41
399,Azul,SUV,1,4,41
400,Verde,SUV,2,7,41
401,Azul,SUV,3,14,41
402,Verde,SUV,4,16,41
403,Azul,SEDAN,1,1,41
404,Azul,SUV,3,11,41
405,Vermelho,SEDAN,1,3,41
406,Verde,SEDAN,2,6,41
407,Vermelho,SEDAN,3,13,41
